Neighborhood,Metrics,Metrics Value
Parada de Lucas,IDH-E,89.0
Guaratiba,IDH-E,85.3
 Barra de Guaratiba,IDH-E,85.3
 Pedra de Guaratiba,IDH-E,85.3
Santa Cruz,IDH-E,88.7
Rocinha,IDH-E,81.8
Jacarezinho,IDH-E,86.7
Manguinhos,IDH-E,84.2
Maré,IDH-E,82.6
Acari,IDH-E,87.6
 Parque Colúmbia,IDH-E,87.6
Costa Barros,IDH-E,85.6
Complexo do Alemão,IDH-E,83.39999999999999
Gávea,IDH-R,100.0
Leblon,IDH-R,100.0
Jardim Guanabara,IDH-R,97.2
Ipanema,IDH-R,100.0
Lagoa,IDH-R,100.0
Flamengo,IDH-R,100.0
Humaitá,IDH-R,100.0
Barra da Tijuca,IDH-R,100.0
 Joá,IDH-R,100.0
Laranjeiras,IDH-R,100.0
Jardim Botânico,IDH-R,100.0
Copacabana,IDH-R,100.0
Leme,IDH-R,100.0
Botafogo,IDH-R,97.89999999999999
 Urca,IDH-R,97.89999999999999
Maracanã,IDH-R,95.7
Glória,IDH-R,95.39999999999999
Méier,IDH-R,92.60000000000001
Tijuca,IDH-R,95.7
 Alto da Boa Vista,IDH-R,95.7
Todos os Santos,IDH-R,89.4
Anil,IDH-R,88.2
Vila da Penha,IDH-R,85.9
Andaraí,IDH-R,90.8
Riachuelo,IDH-R,87.0
Campinho,IDH-R,86.3
 Vila Valqueire,IDH-R,86.3
Moneró,IDH-R,87.3
 Portuguesa,IDH-R,87.3
Catete,IDH-R,89.3
Vila Isabel,IDH-R,91.4
Cachambi,IDH-R,86.8
Pechincha,IDH-R,87.8
Freguesia (Ilha),IDH-R,88.2
Recreio dos Bandeirantes,IDH-R,95.19999999999999
 Grumari,IDH-R,95.19999999999999
Centro,IDH-R,85.0
 Lapa,IDH-R,85.0
Higienópolis,IDH-R,84.5
Santa Teresa,IDH-R,86.7
 Cosme Velho,IDH-R,86.7
Água Santa,IDH-R,80.9
 Encantado,IDH-R,80.9
Taquara,IDH-R,82.39999999999999
Vila Kosmos,IDH-R,81.0
Vidigal,IDH-R,94.6
 São Conrado,IDH-R,94.6
Cidade Nova,IDH-R,85.1
 Praça da Bandeira,IDH-R,85.1
Bonsucesso,IDH-R,82.69999999999999
Cocotá,IDH-R,81.6
