Number,Neighborhood,Per Capita Income - BRL,IDH-L,IDH-E,IDH-R,IDH,Address,location,point,latitude,longitude,altitude,Zones
29,Catete,822.0,83.3,97.8,89.3,90.10000000000001,"Catete, Rio de Janeiro, Brazil","Catete, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9269199, -43.1802186, 0.0)",-22.9269199,-43.1802186,0.0,South
30,Vila Isabel,931.0,80.80000000000001,98.1,91.4,90.10000000000001,"Vila Isabel, Rio de Janeiro, Brazil","Vila Isabel, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9152219, -43.2472627, 0.0)",-22.9152219,-43.2472627,0.0,North
31,Cachambi,709.0,84.5,98.8,86.8,90.0,"Cachambi, Rio de Janeiro, Brazil","Cachambi, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8897634, -43.2744953, 0.0)",-22.8897634,-43.2744953,0.0,North
32,Pechincha,751.0,84.39999999999999,97.8,87.8,90.0,"Pechincha, Rio de Janeiro, Brazil","Pechincha, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.928988, -43.3534191, 0.0)",-22.928988,-43.3534191,0.0,West
33,Freguesia (Ilha),766.0,83.39999999999999,97.89999999999999,88.2,89.8,"Freguesia (Ilha), Rio de Janeiro, Brazil","Freguesia (Ilha), Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.7850602, -43.1694534, 0.0)",-22.7850602,-43.1694534,0.0,North
34,Recreio dos Bandeirantes,1166.0,79.3,93.89999999999999,95.19999999999999,89.4,"Recreio dos Bandeirantes, Rio de Janeiro, Brazil","Recreio dos Bandeirantes, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-23.0185151, -43.4634021, 0.0)",-23.0185151,-43.4634021,0.0,West
35, Grumari,1166.0,79.3,93.89999999999999,95.19999999999999,89.4," Grumari, Rio de Janeiro, Brazil","Grumari, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-23.0470388, -43.5334787, 0.0)",-23.0470388,-43.5334787,0.0,West
36,Centro,633.0,85.2,98.1,85.0,89.4,"Centro, Rio de Janeiro, Brazil","Centro, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9043934, -43.1830653, 0.0)",-22.9043934,-43.1830653,0.0,Downtown
37, Lapa,633.0,85.2,98.1,85.0,89.4," Lapa, Rio de Janeiro, Brazil","Lapa, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9130257, -43.1822358, 0.0)",-22.9130257,-43.1822358,0.0,Downtown
38,Higienópolis,614.0,81.8,98.3,84.5,88.2,"Higienópolis, Rio de Janeiro, Brazil","Higienópolis, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21061-280, Brasil","(-22.873999, -43.2613682, 0.0)",-22.873999,-43.2613682,0.0,North
39,Santa Teresa,701.0,81.8,95.0,86.7,87.8,"Santa Teresa, Rio de Janeiro, Brazil","Santa Teresa, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20240-193, Brasil","(-22.9213991, -43.1882138, 0.0)",-22.9213991,-43.1882138,0.0,Downtown
40, Cosme Velho,701.0,81.8,95.0,86.7,87.8," Cosme Velho, Rio de Janeiro, Brazil","Cosme Velho, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9415143, -43.2006244, 0.0)",-22.9415143,-43.2006244,0.0,South
41,Água Santa,496.0,85.3,96.89999999999999,80.9,87.7,"Água Santa, Rio de Janeiro, Brazil","Água Santa, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9111428, -43.3121258, 0.0)",-22.9111428,-43.3121258,0.0,North
42, Encantado,496.0,85.3,96.89999999999999,80.9,87.7," Encantado, Rio de Janeiro, Brazil","Encantado, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20745000, Brasil","(-22.8974743, -43.3042461, 0.0)",-22.8974743,-43.3042461,0.0,North
43,Taquara,544.0,85.3,95.1,82.39999999999999,87.6,"Taquara, Rio de Janeiro, Brazil","Taquara, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9218864, -43.384646, 0.0)",-22.9218864,-43.384646,0.0,West
44,Vila Kosmos,498.0,87.0,94.89999999999999,81.0,87.6,"Vila Kosmos, Rio de Janeiro, Brazil","Vila Kosmos, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.853597, -43.3032021, 0.0)",-22.853597,-43.3032021,0.0,North
45,Vidigal,1131.0,76.9,90.5,94.6,87.3,"Vidigal, Rio de Janeiro, Brazil","Vidigal, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9952094, -43.2408556, 0.0)",-22.9952094,-43.2408556,0.0,South
46, São Conrado,1131.0,76.9,90.5,94.6,87.3," São Conrado, Rio de Janeiro, Brazil","São Conrado, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9913592, -43.2675329, 0.0)",-22.9913592,-43.2675329,0.0,South
